               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/zombie_mAP_50,metrics/skeleton_mAP_50,metrics/spider_mAP_50,metrics/creeper_mAP_50,metrics/enderman_mAP_50,metrics/slime_mAP_50
                   0,             0.06482,           0.0052744,            0.019814,           0.0038654,            0.015019,           0.0017487,          0.00037451,            0.034411,           0.0037572,            0.013641,           0.0015876,           0.0015876,            0.026781,          0.00029012,          0.00018345,            0.000565,          0.00040378,          0.00013642,          0.00066829
                   1,            0.044215,           0.0066262,            0.018316,            0.092258,             0.24571,            0.073864,            0.029457,            0.018967,           0.0035026,            0.012587,           0.0031595,           0.0031595,           0.0033533,            0.022616,           0.0070961,            0.030622,            0.046231,            0.040705,             0.02947
                   2,            0.029873,           0.0066512,            0.017402,             0.27636,             0.51597,             0.35677,              0.1975,             0.01449,           0.0028777,            0.011991,           0.0031437,           0.0031437,           0.0031437,            0.095683,             0.10856,             0.28324,             0.16869,              0.2398,             0.28901
                   3,            0.025693,           0.0061767,             0.01687,             0.29762,              0.6996,             0.45319,             0.27582,            0.011965,            0.002522,              0.0113,           0.0031437,           0.0031437,           0.0031437,             0.15314,             0.13029,             0.39493,             0.19412,             0.28301,             0.49944
                   4,            0.022982,           0.0057426,            0.016281,             0.36433,             0.63959,             0.52015,             0.30293,            0.012782,           0.0021592,            0.010611,           0.0031155,           0.0031155,           0.0031155,             0.14487,             0.11922,              0.5055,             0.20286,             0.23682,             0.60832
                   5,            0.022587,           0.0051958,            0.015523,             0.44467,             0.67368,             0.55308,             0.35912,            0.011188,           0.0019316,           0.0099194,           0.0030874,           0.0030874,           0.0030874,             0.17587,             0.14742,             0.62045,             0.20772,             0.28029,             0.72297
                   6,            0.022113,           0.0048067,            0.014684,             0.45476,             0.72593,              0.5927,             0.38948,            0.010773,           0.0017625,            0.009275,           0.0030592,           0.0030592,           0.0030592,             0.18841,             0.16907,             0.62033,             0.24422,             0.37186,               0.743
                   7,            0.021683,           0.0044257,            0.013929,             0.47849,             0.70588,             0.62422,              0.3637,             0.01136,           0.0016237,           0.0086614,            0.003031,            0.003031,            0.003031,             0.23042,             0.17535,             0.52865,             0.27278,             0.48818,             0.48683
                   8,            0.021256,            0.004159,            0.013189,             0.47261,             0.73294,             0.64418,             0.36628,            0.012361,           0.0015453,           0.0081557,           0.0030029,           0.0030029,           0.0030029,             0.19343,             0.15686,             0.72033,             0.26778,             0.22304,             0.63625
                   9,            0.020804,           0.0038982,            0.012447,             0.48369,             0.78686,             0.71732,             0.48714,           0.0094017,           0.0014452,           0.0076532,           0.0029747,           0.0029747,           0.0029747,             0.29403,             0.23201,             0.70088,              0.4631,             0.62421,             0.60859
